device_make	device_model	_col2
Kruger_Matz	Eagle_1075	21
Sony	H9493	15
Simbans_Limited	PicassoTab_X11_2025	1
Pad 6	Pad 6	56
wheatek	TITAN P15000 PRO 5G	3
SEGO	Neo 20	10
vivo	V2366HA	1
samsung	SM-A805N	5
ZTE	K87CC	3
Droi	T20	1
Xiaomi	XIG01	6
GHIA	GK133V3	3
Opel Mobile	Smart65E	1
Ulefone	Armor 15	1
S23	pop	1
NSD	T12S	1
samsung	SM-X510	37757
INFINIX	Infinix X6826B	1474
vivo	V2319	4185
OPPO	CPH2213	6147
LENOVO	TB351FU	8190
Deploy PVT LTD	Sparx Neo 7 Ultra 8GB	717
Xiaomi	22127PC95I	5348
vivo	V2251	2672
samsung	SM-G611MT	879
Xiaomi	23127PN0CC	604
vivo	vivo 1921	919
Sony	XQ-BT44	141
OPPO	CPH1921	180
vivo	I2018	816
HTC	HTC U23	40
PCD	P63L	30
AOSP	5026-2Q	385
HMD Global	Nokia 8.1	295
Masstel	Masstel Tab	166
TECNO MOBILE LIMITED	TECNO BC2	103
SE Pro Max	SE Pro Max	243
Acer	Acer One 8 T4-82Lxii	42
HMD Global	N152DL	15
WALTON	Primo R9	45
incar	J10MAX	69
Cherry_Mobile	Flare Tab Pro	3
Google	geralt	147
LASER	MID_1099IPS	6
EGOBOO	EB104	234
TCL	4087U	20
MEDIACOM	AZIMUT 3	46
Razer	Phone 2	169
vivo	V1818CT	11
LENOVO	Lenovo TB-J706L	202
Vocal	VOCAL V1	150
Datamini	T104G	22
incar	SP5713	12
YINOCHE	KIDS705	7
HUAWEI	HUAWEI NMO-L31	3
TCL	A1 Alpha Eco	9
HUAWEI	PIC	6
alps	TA003	3
NUU	S6303L	5
iHunt	iHunt S24 PLUS	1
Fox_and_Sheep	Kidstablet_231	9
vivo	V2162A	1
TCL	Alpha 20	1
Hot40 Pro	Hot40 Pro	1
Do	Mate6_Pro	1
Xiaomi	25040RP0AG	3405
OPPO	CPH2269	26533
BLU	M8L	1282
FIH	EA211001	349
samsung	SM-M326B	4519
OPPO	CPH2387	18307
Chinoe	AT-M130	1871
vivo	V2249	16380
ZTE	ZTE 2050RU	1440
HUAWEI	BAH2-W19	1531
motorola	moto g(100)	1096
Coolpad	CP3669AS	398
HUAWEI	LIO-AL00	98
nubia	NX769J	625
Xiaomi	2409BRN2CG	705
HUAWEI	HBP-LX9	478
Hotlight	C108	131
Teclast	M50Mini	84
samsung	SM-S938Z	109
Coosea	SL101AE	9
MLAB	9344	11
OPPO	PERM00	45
vivo	V2024	1000
samsung	SM-M105G	241
WALTON	Primo S7 Pro	11
TECNO	TECNO BG6s	276
nebi	P20	11
alps	M507	9
incar	X900	25
HUAWEI	DRA-LX9	269
DUOQIN	QIN3ULTRA	327
CORN	CORN Note1	17
Xiaomi	2210132G	221
PRITOM	M10_C02	26
Xiaomi	rubyplus	113
positivo	Tab Q8 Lite	235
Bmax	I11_Plus	49
ZTE	ZTE T0805	46
incar	Q1K	33
HUAWEI	COL-AL10	4
ZUUM	AURA PRIME	9
LAVA	LAVA Blaze	23
incar	P55	15
along	Sunshine_T1_Elite	31
Mobicel	X6	5
CompumaxBlue	Compumax Blue	11
DOOGEE	N55 Plus	52
Reeder	S19 Max 32GB	54
FOLG	FOLG TAB 10	5
LENOVO	LIFETAB E1044X	2
samsung	SM-J260F	3
Deejoy	Y10	6
DOOGEE	S59	16
realme	ums9230_nico_Natv_vf	1
UMIDIGI	UMIDIGI G9x	1
BENEVE	W1	1
OPPO	PKJ110	3
RYZZ	S90	1
Xiaomi	22041219NY	4466
HONOR	NTH-NX9	14014
motorola	moto g55 5G	5448
weelikeit	C19W	359
Amazon	KFTRWI	6097
vivo	V2250	14034
LENOVO	Lenovo TB-X606V	841
INFINIX	Infinix X6857B	779
INFINIX MOBILITY LIMITED	Infinix X682B	6069
motorola	motorola edge 40 pro	686
Xiaomi	2201117SI	3629
samsung	SM-A105G	693
HUAWEI	JSN-L42	1246
samsung	SC-53E	958
samsung	SC-02H	447
Maxwest	Astro 8R	375
TCL	T610E	558
samsung	SM-S215DL	175
Sony	H8296	171
SHARP	SH-M27	389
NEOCORE	NEOCORE-E2S	30
